Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.001,sigmoid,0.9646118879318236
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.001,softmax,0.956620991230011
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,512,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.001,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.001,softmax,0.3321917951107025
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.01,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,512,sigmoid,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.001,sigmoid,0.4360730648040771
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.001,softmax,0.3253424763679504
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.01,sigmoid,0.3470319509506225
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,512,tanh,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.001,sigmoid,0.9554794430732728
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.001,softmax,0.9623287916183472
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,32,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.001,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.001,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,32,sigmoid,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.001,sigmoid,0.3984018266201019
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.001,softmax,0.3321917951107025
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,32,tanh,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.001,sigmoid,0.9577625393867492
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.001,softmax,0.952054798603058
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.01,sigmoid,0.3253424763679504
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,64,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.001,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.001,softmax,0.3424657583236694
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,64,sigmoid,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.001,sigmoid,0.3869863152503967
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.001,softmax,0.3253424763679504
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.01,softmax,0.3253424763679504
