Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,128,tanh,0.01,64,70,0.8093607305936074
1,128,tanh,0.1,16,10,0.4726027397260274
1,128,tanh,0.1,16,30,0.5376712328767124
1,128,tanh,0.1,16,50,0.5707762557077626
1,128,tanh,0.1,16,70,0.541095890410959
1,128,tanh,0.1,32,10,0.5662100456621004
1,128,tanh,0.1,32,30,0.571917808219178
1,128,tanh,0.1,32,50,0.5970319634703196
1,128,tanh,0.1,32,70,0.6381278538812786
1,128,tanh,0.1,64,10,0.5947488584474886
1,128,tanh,0.1,64,30,0.6358447488584474
1,128,tanh,0.1,64,50,0.6518264840182648
1,128,tanh,0.1,64,70,0.6883561643835616
1,256,relu,0.001,16,10,0.9212328767123288
1,256,relu,0.001,16,30,0.932648401826484
1,256,relu,0.001,16,50,0.9394977168949772
1,256,relu,0.001,16,70,0.9406392694063926
1,256,relu,0.001,32,10,0.9098173515981736
1,256,relu,0.001,32,30,0.9269406392694064
1,256,relu,0.001,32,50,0.928082191780822
1,256,relu,0.001,32,70,0.9383561643835616
1,256,relu,0.001,64,10,0.8938356164383562
1,256,relu,0.001,64,30,0.9189497716894978
1,256,relu,0.001,64,50,0.9189497716894978
1,256,relu,0.001,64,70,0.9200913242009132
1,256,relu,0.01,16,10,0.8812785388127854
1,256,relu,0.01,16,30,0.9200913242009132
1,256,relu,0.01,16,50,0.8961187214611872
1,256,relu,0.01,16,70,0.9235159817351598
1,256,relu,0.01,32,10,0.8949771689497716
1,256,relu,0.01,32,30,0.882420091324201
1,256,relu,0.01,32,50,0.908675799086758
1,256,relu,0.01,32,70,0.9292237442922374
1,256,relu,0.01,64,10,0.9189497716894978
1,256,relu,0.01,64,30,0.934931506849315
1,256,relu,0.01,64,50,0.928082191780822
1,256,relu,0.01,64,70,0.9315068493150684
1,256,relu,0.1,16,10,0.884703196347032
1,256,relu,0.1,16,30,0.8972602739726028
1,256,relu,0.1,16,50,0.9269406392694064
1,256,relu,0.1,16,70,0.906392694063927
1,256,relu,0.1,32,10,0.8972602739726028
1,256,relu,0.1,32,30,0.9075342465753424
1,256,relu,0.1,32,50,0.9166666666666666
1,256,relu,0.1,32,70,0.9189497716894978
1,256,relu,0.1,64,10,0.8949771689497716
1,256,relu,0.1,64,30,0.9029680365296804
1,256,relu,0.1,64,50,0.9189497716894978
1,256,relu,0.1,64,70,0.9075342465753424
1,256,sigmoid,0.001,16,10,0.7511415525114156
1,256,sigmoid,0.001,16,30,0.8618721461187214
