Learning Rate,Activation,Units per Layer,Hidden Layers,Epochs,Batch Size,Accuracy
0.001,tanh,256,1,10,16,0.7808219178082192
0.001,tanh,256,1,30,16,0.7968036529680366
0.001,tanh,256,1,50,16,0.8082191780821918
0.001,tanh,256,1,70,16,0.8105022831050228
0.001,tanh,256,1,10,32,0.7579908675799086
0.001,tanh,256,1,30,32,0.7785388127853882
0.001,tanh,256,1,50,32,0.7945205479452054
0.001,tanh,256,1,70,32,0.7990867579908676
0.001,tanh,256,1,10,64,0.7397260273972602
0.001,tanh,256,1,30,64,0.7625570776255708
0.001,tanh,256,1,50,64,0.769406392694064
0.001,tanh,256,1,70,64,0.8036529680365296
0.01,tanh,256,1,10,16,0.8105022831050228
0.01,tanh,256,1,30,16,0.819634703196347
0.01,tanh,256,1,50,16,0.8082191780821918
0.01,tanh,256,1,70,16,0.821917808219178
0.01,tanh,256,1,10,32,0.8127853881278538
0.01,tanh,256,1,30,32,0.8036529680365296
0.01,tanh,256,1,50,32,0.8287671232876712
0.01,tanh,256,1,70,32,0.8242009132420092
0.01,tanh,256,1,10,64,0.7990867579908676
0.01,tanh,256,1,30,64,0.7968036529680366
0.01,tanh,256,1,50,64,0.7945205479452054
0.01,tanh,256,1,70,64,0.817351598173516
0.1,tanh,256,1,10,16,0.5821917808219178
0.1,tanh,256,1,30,16,0.6552511415525114
0.1,tanh,256,1,50,16,0.636986301369863
0.1,tanh,256,1,70,16,0.6301369863013698
0.1,tanh,256,1,10,32,0.6232876712328768
0.1,tanh,256,1,30,32,0.680365296803653
0.1,tanh,256,1,50,32,0.6415525114155252
0.1,tanh,256,1,70,32,0.632420091324201
0.1,tanh,256,1,10,64,0.6301369863013698
0.1,tanh,256,1,30,64,0.6621004566210046
0.1,tanh,256,1,50,64,0.6598173515981736
0.1,tanh,256,1,70,64,0.6484018264840182
0.001,relu,512,1,10,16,0.8561643835616438
0.001,relu,512,1,30,16,0.8584474885844748
0.001,relu,512,1,50,16,0.860730593607306
0.001,relu,512,1,70,16,0.8767123287671232
0.001,relu,512,1,10,32,0.8584474885844748
0.001,relu,512,1,30,32,0.863013698630137
0.001,relu,512,1,50,32,0.867579908675799
0.001,relu,512,1,70,32,0.860730593607306
0.001,relu,512,1,10,64,0.8356164383561644
0.001,relu,512,1,30,64,0.8470319634703196
0.001,relu,512,1,50,64,0.860730593607306
0.001,relu,512,1,70,64,0.860730593607306
0.01,relu,512,1,10,16,0.9018264840182648
0.01,relu,512,1,30,16,0.8904109589041096
0.01,relu,512,1,50,16,0.8812785388127854
0.01,relu,512,1,70,16,0.8767123287671232
0.01,relu,512,1,10,32,0.8424657534246576
0.01,relu,512,1,30,32,0.8881278538812786
0.01,relu,512,1,50,32,0.8926940639269406
0.01,relu,512,1,70,32,0.8812785388127854
0.01,relu,512,1,10,64,0.8698630136986302
0.01,relu,512,1,30,64,0.8972602739726028
0.01,relu,512,1,50,64,0.867579908675799
0.01,relu,512,1,70,64,0.8858447488584474
0.1,relu,512,1,10,16,0.867579908675799
0.1,relu,512,1,30,16,0.8721461187214612
0.1,relu,512,1,50,16,0.8881278538812786
0.1,relu,512,1,70,16,0.8835616438356164
0.1,relu,512,1,10,32,0.865296803652968
0.1,relu,512,1,30,32,0.8949771689497716
